obs_ID,study_ID,es,var
obs001,21,0.0348,0.1102
obs002,21,0.0605,0.0612
obs003,22,-0.2042,0.0319
obs004,25,0.039220678,0.006634169
obs005,26,0.232193387,0.001740723
obs006,30,0.039220713,0.02539645
obs007,30,0.530628251,0.024228374
obs008,30,1.566530411,0.208716838
obs009,30,1.950186706,0.204046871
obs010,31,0.064957918,0.067278158
obs011,33,0.219470088,0.021081813
obs012,58,0.186877373,0.014624686
obs013,58,0.42803943,0.019981697
obs014,59,0.099846051,0.004367318
obs015,59,0.221340467,0.004367318
obs016,60,0.258599737,0.00395732
obs017,71,-0.566395435,0.083385911
obs018,71,-0.432864114,0.036059205
obs019,72,0.445270117,0.004367318
obs020,80,-0.042120713,0.004367318
obs021,80,0.004738725,0.004367318
obs022,85,0.1821,0.0347
obs023,90,-0.0789,1.0418
obs024,90,0.1108,0.5935
obs025,90,0.1448,0.4462
obs026,91,0.578077851,0.004367318
obs027,91,1.3368,0.033
obs028,91,1.4782,0.9641
obs029,91,1.5987,0.0629
obs030,92,1.846266739,0.065974968
obs031,98,0.213,0.051
obs032,98,0.944190569,0.004813563
obs033,99,0.0538,0.0041
obs034,99,0.443,0.0072
obs035,100,0.1775,0.0046
obs036,101,0.0425,0.0599
obs037,101,0.0496,0.0655
obs038,102,0.26744381,0.005584102
obs039,103,0.301890223,0.003695802
obs040,104,0.1718,0.0552
obs041,106,0.0068,0.1107
obs042,107,0.1071,0.1604
obs043,108,0.301430773,0.021307048
obs044,109,0.056865848,0.002384122
obs045,113,0.005524013,0.004367318
obs046,113,0.019439571,0.004367318
obs047,114,-0.046129829,0.012207397
obs048,115,-0.072861349,0.069599664
obs049,116,0.652601086,0.019028764
obs050,120,-0.3196,0.3699
obs051,120,-0.059,0.1968
obs052,129,-0.201289579,0.004367318
obs053,129,-0.065221669,0.004367318
obs054,136,-0.1852,0.2268
obs055,136,-0.0598,0.0467
obs056,148,0.056206605,0.08889077
obs057,148,0.9358,0.2256
obs058,151,0.020619287,0.017010418
obs059,153,-0.000233438,0.004367318
obs060,153,0.126185292,0.004367318
obs061,154,-0.3207,0.8066
obs062,154,0.1442,0.0267
obs063,159,0.405465108,0.12037037
obs064,163,0.432010233,1.75E-05
obs065,163,0.471639845,8.37E-05
obs066,163,0.519875459,3.46E-05
obs067,163,0.666478933,7.03E-05
obs068,163,0.673812529,3.69E-05
obs069,163,0.86325315,5.17E-05
obs070,163,0.937715622,4.68E-05
obs071,174,-0.772355233,0.061661837
obs072,174,-0.0689,0.1158
obs073,174,0.277742462,0.04367318
